leaid,leanm,stateabb,mn_asmts,meanavg,sesavgall,fips,tot_asmts,cellcount,mn_grd_eb,mn_coh_eb,mn_mth_eb
100002,ALABAMA YOUTH SERVICES,AL,16.5,,,01,264,16,,,
100005,ALBERTVILLE CITY,AL,327.6702127659574,4.577404353140777,-.8382362553261855,01,30801,94,.8312999440494494,-.0283782881717294,-.3242260767246968
100006,MARSHALL COUNTY,AL,409.4895833333333,4.91029774739542,-.3023622074225421,01,39311,96,.8426575148859147,-.0716635273522631,-.2591032713430772
100007,HOOVER CITY,AL,939.7340425531914,6.253548586167214,1.396654884838175,01,88335,94,1.221480596244044,.0599293552475971,-.7409511639016716
100008,MADISON CITY,AL,694.375,7.030457936575351,1.539263717072367,01,66660,96,1.212226150572981,.1429626833118921,-.9059690000078757
100009,AL INST DEAF AND BLIND,AL,7.173913043478261,,,01,165,23,,,
100011,LEEDS CITY,AL,128.1764705882353,4.309431534167254,.1383818839163525,01,10895,85,1.058223935614521,.0388525773154243,-.797229912798448
100012,BOAZ CITY,AL,171.4148936170213,5.108056664721165,-.5754954433105754,01,16113,94,1.028796823997463,-.076462919710343,-.9496372329665932
100013,TRUSSVILLE CITY,AL,332.9583333333333,6.1707874791524,1.45228091317553,01,31964,96,.9095363582920117,.0641747586983089,-.7401044304669139
100018,ALABAMA SCHOOL OF FINE ARTS,AL,35.75,,,01,143,4,,,
100030,ALEXANDER CITY,AL,242.4166666666667,5.022339592017599,-1.189335418669617,01,23272,96,.902953780399782,-.0669564534089691,-.4173551264286878
100035,LEARNING TREE INC,AL,4.809523809523809,2.334045998431439,,01,101,21,,,
100060,ANDALUSIA CITY,AL,131.75,5.164888457994302,-1.093356227755335,01,12648,96,.9592638465936426,-.0795081792473198,-.6210892816957131
100090,ANNISTON CITY,AL,160.8555555555556,3.175168441193701,-1.908041893484637,01,14477,90,.8001770933796251,.0641345397878501,-.8425735769270891
100100,ARAB CITY,AL,191.9130434782609,6.55519077516077,-.2677992394569972,01,17656,92,.8845488636521139,-.0303592679442114,-.677084030168248
100120,ATHENS CITY,AL,249.3085106382979,5.337711127021411,-.0968435168931712,01,23435,94,.9636706439777696,-.015393591796202,-.8874726767897373
100180,ATTALLA CITY,AL,118.9270833333333,4.317220499495703,-.819467490811652,01,11417,96,.7831625341895116,.0398570435687429,-1.048180103400006
100185,SARALAND CITY,AL,185.5625,5.8390613354677,-.047192256933042,01,17814,96,.9818911799770365,.1354353174400968,-.3283546144203189
100188,CHICKASAW CITY,AL,66.13333333333334,3.644443438347139,,01,992,15,,,
100189,SATSUMA CITY,AL,100.3913043478261,5.281110766814082,,01,4618,46,.8595055769544139,,-.8113753871685924
100190,ALABASTER CITY,AL,478.625,5.160759913499273,,01,45948,96,1.113188273527294,.0547973200625216,-.568741616592473
100194,PELHAM CITY,AL,242.9583333333333,5.020748204568926,,01,5831,24,,,-.8387578899981978
100210,AUBURN CITY,AL,538.5833333333334,6.554723463852496,.552792369036437,01,51704,96,1.000368082561189,.080196914559173,-.3899991522871304
100240,AUTAUGA COUNTY,AL,759,5.639487096087805,.2633204210960543,01,72864,96,1.04888495743799,-.0890948758211187,-.4110470536412463
100270,BALDWIN COUNTY,AL,2220.979166666667,5.432102747719357,.3730815216021227,01,213214,96,.8392950239446761,-.0485304447172953,-.5887420995385549
100300,BARBOUR COUNTY,AL,73.17708333333333,2.540729593198131,-1.468818936124408,01,7025,96,.8160920351928027,.0637088420544604,-.8780427190848095
100330,BESSEMER CITY,AL,326.6881720430108,3.408798415873692,-2.124787699065976,01,30382,93,.6920522605716372,-.1890860281935318,-.2134841925554177
100360,BIBB COUNTY,AL,267.4791666666667,4.24277753260349,-.4096923289872531,01,25678,96,.9916970167318432,.0192561877444194,-.8403428022750578
100390,BIRMINGHAM CITY,AL,1749.063829787234,3.458255438991498,-1.865076066108994,01,164412,94,.8185624721511803,-.0652599327730806,-.4911079802684145
100420,BLOUNT COUNTY,AL,651.5104166666666,4.5411802754073,-.0658694515763096,01,62545,96,.8881431229133732,.1100466214870318,-.9677123158203429
100450,BREWTON CITY,AL,89.34375,5.488391612551027,-1.071246470046606,01,8577,96,1.004972658812335,.070502684461807,-.8801551658537037
100480,BULLOCK COUNTY,AL,112.3617021276596,2.849593368998117,-1.827498169332366,01,10562,94,.6825765902563393,-.0562951089190132,-1.080371449818685
100510,BUTLER COUNTY,AL,246.3333333333333,4.058470807825337,-1.304897691108522,01,23648,96,.7926361672913835,-.0760208859262542,-.2554790677553525
100540,CALHOUN COUNTY,AL,729.4444444444445,5.000223363590987,-.4003312189060794,01,65650,90,.7730274928711275,.0202643634995168,-1.050076073774848
100600,CHAMBERS COUNTY,AL,294.625,3.873146550046367,-.7116211191741108,01,28284,96,.8849503719260864,.085718545194192,-.9650598632284754
100630,CHEROKEE COUNTY,AL,315.5104166666667,4.652747315544907,-.5738295093156512,01,30289,96,.9975128787966439,.0714652432904266,-.550974627051661
100660,CHILTON COUNTY,AL,602.65625,4.53835960424713,-.5715598697008369,01,57855,96,.7650952264885048,.0202035991999686,-.822366209127864
100690,CHOCTAW COUNTY,AL,133.7826086956522,3.709654502005427,-1.364824798866198,01,12308,92,.5966623195715088,-.1375022434576344,-.6192443927630864
100720,CLARKE COUNTY,AL,235.7083333333333,3.931582189586719,-1.482771462805431,01,22628,96,.8113046620888987,.0373273776598354,-1.031673322151865
100750,CLAY COUNTY,AL,159.95,4.388789330225626,-.3857853298122183,01,12796,80,.9547946957434269,.1392301460055146,-.510085180956849
